Generation,MaxFitness,AvgFitness,MaxDistance
0,1189,188,1224
1,1494,364,1532
2,1023,255,1080
3,1793,1171,1820
4,4148,935,4184
5,2091,1053,2124
6,601,518,636
7,2989,1653,3012
8,2687,1452,2712
9,2094,556,2124
10,3138,1719,3168
11,7457,4178,7456
12,3735,2520,3752
13,4774,1402,4792
14,3881,2319,3904
15,4176,2447,4192
16,2389,1665,2424
17,3406,1755,3448
18,3653,1853,3676
19,6788,3827,6784
20,5967,2949,5972
21,5441,1666,5452
22,7825,4121,7820
23,1055,154,1092
24,7909,3037,7900
25,15068,5600,14968
